iata,ident,name,city,state,type,latitude,longitude,elevation_ft,scheduled_service,runway_count,longest_runway_ft,source
JFK,KJFK,John F. Kennedy International Airport,New York,NY,large_airport,40.639447,-73.779317,13.0,yes,4,14511,OurAirports airports and runways cache
JHM,PHJH,Kapalua Airport,Lahaina,HI,medium_airport,20.9629,-156.673004,256.0,yes,1,3000,OurAirports airports and runways cache
JLN,KJLN,Joplin Regional Airport,Joplin,MO,medium_airport,37.151798,-94.498299,981.0,yes,3,6502,OurAirports airports and runways cache
JMS,KJMS,Jamestown Regional Airport,Jamestown,ND,medium_airport,46.92969894,-98.67819977,1500.0,yes,2,6502,OurAirports airports and runways cache
JNU,PAJN,Juneau International Airport,Juneau,AK,medium_airport,58.354935,-134.574416,21.0,yes,2,8857,OurAirports airports and runways cache
JRA,JRA,West 30th Street Heliport,New York,NY,heliport,40.755107,-74.006896,7.0,yes,9,44,OurAirports airports and runways cache
JST,KJST,John Murtha Johnstown Cambria County Airport,Johnstown,PA,medium_airport,40.31610107421875,-78.83390045166016,2284.0,yes,3,7004,OurAirports airports and runways cache
KAE,KAE,Kake Seaplane Base,Kake,AK,seaplane_base,56.973,-133.945999,,yes,1,10000,OurAirports airports and runways cache
KAL,PAKV,Kaltag Airport,Kaltag,AK,small_airport,64.31864,-158.74197,181.0,yes,1,3986,OurAirports airports and runways cache
KBC,Z91,Birch Creek Airport,Birch Creek,AK,small_airport,66.2740020752,-145.824005127,450.0,yes,1,4000,OurAirports airports and runways cache
KCC,KCC,Coffman Cove Seaplane Base,Coffman Cove,AK,seaplane_base,56.012586,-132.835093,,yes,1,5000,OurAirports airports and runways cache
KCG,PAJC,Chignik Airport,Chignik,AK,small_airport,56.311501,-158.373001,18.0,yes,1,2600,OurAirports airports and runways cache
KCQ,A79,Chignik Lake Airport,Chignik Lake,AK,small_airport,56.255001,-158.774994,50.0,yes,1,2800,OurAirports airports and runways cache
KEB,KEB,Nanwalek Airport,Nanwalek,AK,small_airport,59.3521,-151.925003,27.0,yes,1,1850,OurAirports airports and runways cache
KEH,S60,Kenmore Air Harbor LLC Seaplane Base,Kenmore,WA,seaplane_base,47.754799,-122.259003,14.0,yes,2,10000,OurAirports airports and runways cache
KFP,PAKF,False Pass Airport,False Pass,AK,small_airport,54.84751,-163.407168,20.0,yes,1,2100,OurAirports airports and runways cache
KGK,PAJZ,Koliganek Airport,Koliganek,AK,small_airport,59.726600647,-157.259002686,269.0,yes,1,3300,OurAirports airports and runways cache
KGX,KGX,Grayling Airport,Grayling,AK,small_airport,62.895187,-160.066289,99.0,yes,1,4000,OurAirports airports and runways cache
KKA,PAKK,Koyuk Alfred Adams Airport,Koyuk,AK,small_airport,64.939499,-161.154007,154.0,yes,1,3002,OurAirports airports and runways cache
KKB,KKB,Kitoi Bay Seaplane Base,Kitoi Bay,AK,seaplane_base,58.190899,-152.369995,,yes,1,4000,OurAirports airports and runways cache
KKH,PADY,Kongiganak Airport,Kongiganak,AK,small_airport,59.9608,-162.880997,30.0,yes,1,2400,OurAirports airports and runways cache
KKI,Z13,Akiachak Airport,Akiachak,AK,small_airport,60.913809,-161.493329,23.0,yes,1,1649,OurAirports airports and runways cache
KLG,PALG,Kalskag Airport,Kalskag,AK,small_airport,61.53630065917969,-160.34100341796875,55.0,yes,1,3198,OurAirports airports and runways cache
KLN,PALB,Larsen Bay Airport,Larsen Bay,AK,small_airport,57.53516,-153.976455,87.0,yes,1,2690,OurAirports airports and runways cache
KLW,PAKW,Klawock Airport,Klawock,AK,medium_airport,55.579201,-133.076004,80.0,yes,1,5000,OurAirports airports and runways cache
KMO,PAMB,Manokotak Airport,Manokotak,AK,small_airport,58.932056,-158.901886,107.0,yes,1,3300,OurAirports airports and runways cache
KMY,KMY,Moser Bay Seaplane Base,Moser Bay,AK,seaplane_base,57.0256,-154.145996,,yes,1,10000,OurAirports airports and runways cache
KNK,PFKK,Kokhanok Airport,Kokhanok,AK,small_airport,59.433248,-154.80217,115.0,yes,1,3300,OurAirports airports and runways cache
KNW,PANW,New Stuyahok Airport,New Stuyahok,AK,small_airport,59.451838,-157.373829,364.0,yes,1,3281,OurAirports airports and runways cache
KOA,PHKO,Ellison Onizuka Kona International Airport at Keāhole,Kailua-Kona,HI,large_airport,19.738783,-156.045603,47.0,yes,1,11000,OurAirports airports and runways cache
KOT,PFKO,Kotlik Airport,Kotlik,AK,small_airport,63.030602,-163.533005,15.0,yes,1,4400,OurAirports airports and runways cache
KOY,KOY,Olga Bay Seaplane Base,Olga Bay,AK,seaplane_base,57.161499,-154.229996,,yes,1,10000,OurAirports airports and runways cache
KOZ,4K5,Ouzinkie Airport,Ouzinkie,AK,small_airport,57.942094,-152.464314,55.0,yes,1,3300,OurAirports airports and runways cache
KPB,KPB,Point Baker Seaplane Base,Point Baker,AK,seaplane_base,56.351898,-133.623001,,yes,1,4000,OurAirports airports and runways cache
KPN,PAKI,Kipnuk Airport,Kipnuk,AK,small_airport,59.931796,-164.028196,11.0,yes,1,3200,OurAirports airports and runways cache
KPR,KPR,Port Williams Seaplane Base,Port Williams,AK,seaplane_base,58.490101,-152.582001,,yes,1,10000,OurAirports airports and runways cache
KPV,PAPE,Perryville Airport,Perryville,AK,small_airport,55.9065,-159.16091,29.0,yes,1,3300,OurAirports airports and runways cache
